Airline,Source,Destination,Stops,Info,Day,Month,Total Distance,Duration Total,Price
Jet Airways,CCU,BLR,1,1.0,24,5,3022.67,1080,10703
Multiple carriers,DEL,COK,1,,27,5,2084.71,540,9646
Multiple carriers,DEL,COK,1,,6,3,2201.6,660,17057
Jet Airways,BLR,DEL,1,,12,3,1971.87,1020,13817
Air India,DEL,COK,2,,6,3,2308.95,780,13748
Air India,CCU,BLR,0,,21,4,1547.27,120,4880
IndiGo,MAA,CCU,0,,21,6,1387.26,120,3540
SpiceJet,BLR,DEL,0,2.0,15,5,1709.71,120,3257
Jet Airways,BLR,DEL,0,1.0,3,6,1709.71,180,6478
Jet Airways,BOM,HYD,0,,18,6,623.54,60,8040
Jet Airways,DEL,COK,2,,12,6,2895.09,960,14300
Jet Airways,CCU,BLR,1,,15,5,2500.36,720,14781
Jet Airways,CCU,BLR,1,,9,6,2500.36,720,14939
Jet Airways,DEL,COK,1,1.0,24,6,2201.6,420,10262
Air India,CCU,BLR,1,,12,5,1654.62,1440,6528
Air India,BLR,DEL,0,,1,5,1709.71,120,6121
Jet Airways,DEL,COK,2,1.0,18,5,2206.24,480,13029
Multiple carriers,DEL,COK,1,,27,3,2201.6,420,11421
Multiple carriers,DEL,COK,1,,27,3,2201.6,840,7574
Air India,DEL,COK,2,,9,5,2335.87,1800,11596
Jet Airways,DEL,COK,2,,24,5,2263.95,1140,15129
Jet Airways,BLR,DEL,1,,18,3,1971.87,900,13555
IndiGo,BLR,DEL,0,,12,4,1709.71,120,5780
Vistara,CCU,BLR,1,,12,5,3022.67,720,9397
Jet Airways,DEL,COK,1,,6,3,2201.6,600,17024
GoAir,DEL,COK,1,,27,6,2201.6,300,5281
Multiple carriers,DEL,COK,1,,18,5,2084.71,900,10348
Air India,DEL,COK,1,,6,3,2278.33,960,12677
Multiple carriers,DEL,COK,1,,3,3,2201.6,600,15147
Vistara,BLR,DEL,0,,12,6,1709.71,120,4668
Jet Airways,DEL,COK,1,,9,5,2201.6,660,15554
SpiceJet,BLR,DEL,0,,9,4,1709.71,120,3971
Air India,BOM,HYD,0,,3,5,623.54,60,3100
Jet Airways,CCU,BLR,1,1.0,6,5,2500.36,840,9663
Air India,DEL,COK,1,,1,3,2201.6,1200,27430
IndiGo,MAA,CCU,0,,12,5,1387.26,120,3540
Air India,CCU,BLR,2,,21,5,2578.2,1380,10676
Jet Airways,CCU,BLR,1,,12,6,2500.36,1080,13044
Jet Airways,CCU,BLR,1,,6,5,2500.36,960,14388
IndiGo,BLR,DEL,0,,24,6,1709.71,120,3943
IndiGo,MAA,CCU,0,,3,6,1387.26,120,3597
Air India,BLR,DEL,1,,21,3,2028.8899999999999,480,5932
Jet Airways,DEL,COK,1,1.0,15,6,2201.6,960,10262
Vistara,DEL,COK,0,,12,5,2048.6,180,6216
IndiGo,CCU,BLR,0,,15,6,1547.27,120,4804
Multiple carriers,DEL,COK,1,,21,5,2201.6,840,14067
Jet Airways,DEL,COK,2,,18,5,2263.95,1380,15129
Jet Airways,DEL,COK,2,,6,6,2600.67,1260,13376
Air India,DEL,COK,2,,27,6,2993.1899999999996,1260,10441
Jet Airways,BLR,DEL,0,1.0,24,5,1709.71,120,4030
Jet Airways,DEL,COK,1,,3,3,2201.6,600,17024
Multiple carriers,DEL,COK,1,,9,4,2201.6,480,13017
GoAir,CCU,BLR,1,,6,6,2500.36,480,6686
IndiGo,DEL,COK,1,,15,6,2278.33,300,5636
IndiGo,DEL,COK,1,,9,6,2084.71,480,6442
Multiple carriers,DEL,COK,1,,21,5,2084.71,660,9486
Jet Airways,CCU,BLR,1,1.0,21,5,2500.36,1620,10844
Jet Airways,DEL,COK,2,1.0,3,6,2895.09,480,15318
Air India,DEL,COK,1,,3,4,2278.33,1200,5117
IndiGo,DEL,COK,1,,24,6,2077.09,240,6147
Multiple carriers,DEL,COK,1,,9,6,2201.6,480,7005
SpiceJet,CCU,BLR,0,,3,4,1547.27,120,3873
Jet Airways,DEL,COK,2,1.0,21,3,2220.7799999999997,1440,9270
GoAir,BLR,DEL,0,,27,6,1709.71,120,3898
Jet Airways,CCU,BLR,1,,12,5,2500.36,720,14781
Jet Airways,CCU,BLR,1,1.0,24,5,2500.36,720,8586
Air India,CCU,BLR,2,,9,5,3102.9100000000003,1380,10697
Jet Airways,DEL,COK,2,,27,6,2895.09,960,14300
IndiGo,BLR,DEL,0,,3,3,1709.71,120,8855
Jet Airways,CCU,BLR,1,1.0,12,5,2500.36,1500,10844
Jet Airways,DEL,COK,1,,6,3,2201.6,1560,17024
Jet Airways,CCU,BLR,1,1.0,1,5,3022.67,1680,9314
IndiGo,BLR,DEL,0,,24,3,1709.71,120,4777
Air India,CCU,BLR,1,,9,6,1547.97,1500,7662
IndiGo,DEL,COK,1,,9,5,2084.71,540,6442
SpiceJet,DEL,COK,1,,12,6,2130.78,240,5264
Jet Airways,DEL,COK,1,1.0,27,5,2201.6,900,12898
Air India,BOM,HYD,0,,3,3,623.54,60,6092
SpiceJet,BLR,DEL,0,,21,5,1709.71,120,3311
Jet Airways,DEL,COK,1,1.0,27,3,2201.6,540,6540
IndiGo,BLR,DEL,0,,27,5,1709.71,120,3419
Jet Airways,DEL,COK,1,1.0,3,4,2201.6,1320,5177
Air India,DEL,COK,0,,18,4,2048.6,180,8246
Jet Airways,CCU,BLR,1,,9,6,3022.67,660,14676
Multiple carriers,DEL,COK,1,,27,6,2201.6,540,13587
Jet Airways,CCU,BLR,1,1.0,6,5,2500.36,720,9663
Jet Airways,CCU,BLR,1,,12,6,2500.36,1020,13044
IndiGo,DEL,COK,1,,3,4,2201.6,300,5073
Vistara,CCU,BLR,1,,21,5,3022.67,1500,9345
Jet Airways,CCU,BLR,1,1.0,6,5,2500.36,1200,9663
Multiple carriers,DEL,COK,1,,21,5,2201.6,780,14277
Jet Airways,DEL,COK,1,1.0,1,6,2201.6,1080,10262
Jet Airways,BOM,HYD,0,,27,3,623.54,60,5678
Multiple carriers,DEL,COK,1,,15,5,2201.6,540,13727
Jet Airways,CCU,BLR,1,1.0,6,5,2500.36,960,9663
IndiGo,MAA,CCU,0,,12,5,1387.26,120,3858
SpiceJet,DEL,COK,1,,24,6,2130.78,240,4812
IndiGo,DEL,COK,1,,27,6,2329.93,300,5775
Jet Airways,CCU,BLR,1,1.0,6,6,3022.67,1440,10539
IndiGo,CCU,BLR,0,,3,6,1547.27,120,4804
Air Asia,BLR,DEL,0,,12,6,1709.71,120,3383
IndiGo,BLR,DEL,1,,3,3,1722.67,240,8738
Air India,DEL,COK,1,,27,3,2427.24,1500,7165
IndiGo,DEL,COK,1,,24,6,2084.71,360,6412
Jet Airways,BLR,DEL,0,,27,6,1709.71,180,8016
Jet Airways,BLR,DEL,1,1.0,12,3,1971.87,1080,11087
SpiceJet,MAA,CCU,0,2.0,27,6,1387.26,120,3543
Jet Airways,CCU,BLR,1,,12,6,2500.36,720,12471
Jet Airways,DEL,COK,1,1.0,24,6,2201.6,1140,10262
Air India,BLR,DEL,0,,18,3,1709.71,120,4441
Multiple carriers,DEL,COK,1,,27,3,2201.6,480,12537
GoAir,CCU,BLR,1,,24,3,2500.36,540,10091
Air India,BLR,DEL,0,,3,6,1709.71,120,6961
IndiGo,DEL,COK,0,,24,4,2048.6,180,5013
Air India,DEL,COK,0,,18,5,2048.6,120,6934
Multiple carriers,DEL,COK,1,,3,6,2201.6,720,10877
Jet Airways,BLR,DEL,0,,18,4,1709.71,120,7229
IndiGo,DEL,COK,1,,27,3,2201.6,540,7048
Vistara,BLR,DEL,0,,27,6,1709.71,120,4878
Jet Airways,CCU,BLR,1,1.0,21,5,2500.36,540,10844
Jet Airways,DEL,COK,2,,18,5,2263.95,1740,15129
IndiGo,BLR,DEL,0,,12,5,1709.71,120,3943
SpiceJet,DEL,COK,1,,6,6,2278.33,300,5583
Multiple carriers,DEL,COK,1,,6,6,2084.71,540,9646
Multiple carriers,DEL,COK,1,,3,6,2201.6,600,7677
IndiGo,DEL,COK,1,,1,6,2077.09,240,6842
Jet Airways,BOM,HYD,0,1.0,24,6,623.54,60,4995
Vistara,CCU,BLR,1,,9,6,3022.67,660,9555
IndiGo,BLR,DEL,0,,1,6,1709.71,120,4077
Jet Airways,BLR,DEL,0,,12,5,1709.71,120,7229
Multiple carriers,DEL,COK,1,,9,6,2201.6,600,12192
Air India,BLR,DEL,0,,12,4,1709.71,120,5911
Air India,DEL,COK,1,,12,6,2201.6,600,8372
Jet Airways,BOM,HYD,0,1.0,18,3,623.54,60,4995
Multiple carriers,DEL,COK,1,,9,5,2201.6,540,14323
Jet Airways,DEL,COK,2,,9,6,2206.24,1320,13014
Air India,DEL,COK,2,,6,6,4043.05,1680,13591
Jet Airways,DEL,COK,2,,3,3,2232.34,2220,18799
IndiGo,BLR,DEL,0,,27,4,1709.71,120,3943
SpiceJet,BOM,HYD,0,2.0,21,5,623.54,60,1965
Jet Airways,BOM,HYD,0,1.0,27,5,623.54,60,4995
Air India,CCU,BLR,1,,24,3,2500.36,1500,14641
Air India,CCU,BLR,0,,12,4,1547.27,120,4460
Air India,DEL,COK,1,,18,5,2201.6,360,10191
Jet Airways,DEL,COK,1,1.0,9,3,2201.6,1020,13843
IndiGo,DEL,COK,1,,1,5,2329.93,300,6349
Air Asia,CCU,BLR,0,,1,5,1547.27,120,4409
Jet Airways,DEL,COK,1,,6,3,2201.6,1500,17024
Multiple carriers,DEL,COK,1,,18,5,2201.6,780,13727
IndiGo,BLR,DEL,0,,15,3,1709.71,120,8855
Multiple carriers,DEL,COK,1,,24,6,2201.6,600,12524
Jet Airways,BLR,DEL,1,,18,3,1971.87,480,13555
Jet Airways,CCU,BLR,1,1.0,6,6,2500.36,300,10844
Multiple carriers,DEL,COK,1,,9,6,2201.6,720,13587
SpiceJet,MAA,CCU,0,2.0,12,6,1387.26,120,3543
Vistara,MAA,CCU,0,,18,3,1387.26,120,4842
IndiGo,BLR,DEL,0,,24,4,1709.71,120,3943
Jet Airways,DEL,COK,1,1.0,9,6,2201.6,540,10577
IndiGo,DEL,COK,1,,15,5,2201.6,600,6979
Vistara,MAA,CCU,0,,27,6,1387.26,120,11982
SpiceJet,DEL,COK,1,,6,6,2130.78,240,5264
Vistara,DEL,COK,0,,3,3,2048.6,180,8001
Air India,DEL,COK,2,,1,6,2263.95,1380,10651
Jet Airways,CCU,BLR,1,1.0,24,5,2500.36,1620,10844
Multiple carriers,DEL,COK,1,,27,3,2084.71,720,6601
Air India,DEL,COK,1,,21,3,2201.6,1440,6587
SpiceJet,BOM,HYD,0,,21,3,623.54,60,3173
Air India,BLR,DEL,0,,9,5,1709.71,120,5228
Jet Airways,BLR,DEL,0,1.0,21,6,1709.71,180,5769
Jet Airways,DEL,COK,1,,6,6,2201.6,660,14714
Jet Airways,DEL,COK,2,,3,6,2206.24,780,13014
IndiGo,BLR,DEL,0,,3,6,1709.71,120,3359
GoAir,BLR,DEL,0,,3,3,1709.71,120,6722
IndiGo,CCU,BLR,0,,18,3,1547.27,120,4462
IndiGo,DEL,COK,1,,9,3,2084.71,660,6171
Air India,CCU,BLR,2,,21,5,3045.77,840,12303
Multiple carriers,DEL,COK,1,,21,3,2201.6,780,7695
IndiGo,DEL,COK,1,,24,6,2201.6,840,5684
Air India,CCU,BLR,1,,12,6,2500.36,900,8366
Air India,MAA,CCU,0,,1,3,1387.26,120,19630
Jet Airways,BLR,DEL,1,1.0,6,3,1971.87,900,13502
Jet Airways,CCU,BLR,1,,1,5,2500.36,720,14781
Multiple carriers,DEL,COK,1,,12,6,2084.71,540,6513
Air India,DEL,COK,1,,1,6,2201.6,720,9929
Multiple carriers,DEL,COK,2,,6,6,2325.49,420,18275
Air India,DEL,COK,1,,9,4,2278.33,1620,4487
IndiGo,BOM,HYD,0,,15,3,623.54,60,2754
Air India,BOM,HYD,0,,27,3,623.54,60,2575
SpiceJet,CCU,BLR,1,,12,6,2311.75,300,8224
Air India,DEL,COK,1,,9,3,2077.09,660,8991
IndiGo,DEL,COK,0,,24,6,2048.6,180,5000
Jet Airways,CCU,BLR,1,1.0,12,6,2500.36,1440,8529
Air India,DEL,COK,1,,3,3,2278.33,1620,14042
Jet Airways,BLR,DEL,0,1.0,24,5,1709.71,120,4030
Jet Airways,CCU,BLR,1,1.0,6,6,2500.36,1020,10844
IndiGo,CCU,BLR,0,,6,5,1547.27,120,4804
Multiple carriers,DEL,COK,1,1.0,27,5,2201.6,480,7308
IndiGo,BLR,DEL,0,,12,5,1709.71,180,4823
Jet Airways,DEL,COK,1,1.0,24,6,2201.6,1620,10262
Jet Airways,DEL,COK,1,1.0,27,5,2201.6,420,12898
Air India,BLR,DEL,2,,12,3,2106.1400000000003,1320,12778
IndiGo,DEL,COK,1,,3,3,2201.6,480,14871
Air India,DEL,COK,2,,21,3,2229.75,1740,8708
Jet Airways,CCU,BLR,1,1.0,6,6,2500.36,1320,10844
SpiceJet,BOM,HYD,0,,6,3,623.54,60,4129
IndiGo,CCU,BLR,0,,18,5,1547.27,120,4804
Jet Airways,BLR,DEL,0,,6,5,1709.71,180,7229
Jet Airways,BLR,DEL,1,1.0,21,3,1971.87,720,7832
SpiceJet,MAA,CCU,0,,18,3,1387.26,120,3859
Multiple carriers,DEL,COK,1,,6,6,2201.6,660,9001
Vistara,BLR,DEL,0,,9,5,1709.71,120,4878
IndiGo,BOM,HYD,0,,3,5,623.54,60,2754
Vistara,BLR,DEL,0,,27,6,1709.71,120,4668
Air Asia,CCU,BLR,0,,12,5,1547.27,120,5216
Jet Airways,DEL,COK,2,1.0,6,6,2206.24,1320,10368
IndiGo,DEL,COK,2,,9,3,2292.0699999999997,840,8146
Jet Airways,DEL,COK,1,,27,3,2201.6,900,12242
Jet Airways,BLR,DEL,1,1.0,15,3,1971.87,420,9134
Air India,DEL,COK,2,,6,6,2292.0699999999997,1200,10939
Air India,DEL,COK,2,,6,6,2993.1899999999996,1200,11753
SpiceJet,CCU,BLR,0,,24,4,1547.27,120,4174
Jet Airways,CCU,BLR,1,1.0,21,5,2500.36,1380,10844
Jet Airways,DEL,COK,1,,3,6,2201.6,1620,14714
Jet Airways,CCU,BLR,1,1.0,12,6,2500.36,300,9899
IndiGo,DEL,COK,1,,3,3,2201.6,660,14871
IndiGo,MAA,CCU,0,,6,3,1387.26,120,7295
Air India,DEL,COK,2,,6,6,2206.24,1440,13465
SpiceJet,MAA,CCU,0,2.0,21,5,1387.26,120,3543
Multiple carriers,DEL,COK,1,,27,6,2201.6,360,7198
Jet Airways,DEL,COK,1,1.0,1,6,2201.6,1200,10262
IndiGo,CCU,BLR,0,,15,3,1547.27,120,4148
Jet Airways,BLR,DEL,0,,27,6,1709.71,120,8016
Jet Airways,DEL,COK,1,1.0,9,6,2201.6,300,10262
SpiceJet,CCU,BLR,0,2.0,15,6,1547.27,120,3841
Jet Airways,BLR,DEL,1,,12,3,2028.8899999999999,840,11507
Jet Airways,CCU,BLR,1,,1,5,2500.36,720,14781
Jet Airways,DEL,COK,1,,27,5,2201.6,1500,16079
Jet Airways,DEL,COK,1,1.0,27,5,2201.6,300,12898
Multiple carriers,DEL,COK,1,,6,3,2201.6,660,15353
IndiGo,BLR,DEL,0,,24,3,1709.71,120,7303
SpiceJet,CCU,BLR,1,,24,3,1654.62,300,6197
Air India,CCU,BLR,1,,9,6,1547.97,240,8996
IndiGo,DEL,COK,1,,21,3,2084.71,480,6528
GoAir,BLR,DEL,0,,9,4,1709.71,120,4239
IndiGo,CCU,BLR,0,,12,3,1547.27,120,4148
SpiceJet,BLR,DEL,0,,24,5,1709.71,120,3971
Air Asia,CCU,BLR,1,,6,5,3022.67,900,5192
Jet Airways,DEL,COK,2,,9,4,2263.95,1380,9483
Jet Airways,DEL,COK,2,,3,6,2335.87,420,18804
Air India,DEL,COK,0,,18,6,2048.6,120,5201
Jet Airways,DEL,COK,1,,27,5,2201.6,420,16079
Jet Airways,BLR,DEL,0,1.0,15,6,1709.71,180,7229
Multiple carriers,DEL,COK,1,,27,5,2201.6,420,6795
Jet Airways,CCU,BLR,1,,9,5,3022.67,1500,10953
Multiple carriers,DEL,COK,2,,24,6,2232.34,600,15965
Air India,DEL,COK,2,,9,4,2335.87,1800,9968
IndiGo,CCU,BLR,0,,6,6,1547.27,120,4804
Jet Airways,DEL,COK,1,,27,5,2201.6,540,16079
Jet Airways,DEL,COK,2,1.0,12,6,2232.34,900,11507
Air India,CCU,BLR,2,,9,6,3097.4700000000003,1680,11542
Jet Airways,BLR,DEL,0,,24,4,1709.71,180,7229
Jet Airways,BLR,DEL,0,1.0,27,4,1709.71,120,4544
IndiGo,DEL,COK,1,,15,5,2077.09,240,6496
IndiGo,CCU,BLR,0,,15,6,1547.27,120,4804
Air India,BLR,DEL,1,,1,3,2860.23,1320,13439
Jet Airways,DEL,COK,1,1.0,27,3,2201.6,600,6540
IndiGo,BLR,DEL,0,,1,6,1709.71,120,4591
IndiGo,BLR,DEL,1,,18,3,1722.67,240,4437
Air Asia,DEL,COK,1,,21,3,2077.09,660,6151
Jet Airways,BLR,DEL,0,1.0,21,6,1709.71,180,7754
Jet Airways,DEL,COK,1,1.0,24,6,2201.6,1320,10262
Jet Airways,BLR,DEL,0,,9,6,1709.71,180,8016
SpiceJet,CCU,BLR,0,2.0,24,3,1547.27,120,4781
Vistara,BLR,DEL,0,,27,6,1709.71,120,4668
Air India,BLR,DEL,1,,6,3,2028.8899999999999,1260,14594
Jet Airways,CCU,BLR,1,,24,3,2500.36,660,14231
Air India,DEL,COK,1,,15,5,2427.24,1500,8425
Multiple carriers,DEL,COK,1,,12,6,2084.71,900,9646
IndiGo,MAA,CCU,0,,3,3,1387.26,120,7295
Air Asia,CCU,BLR,1,,9,4,1547.97,180,5162
IndiGo,BLR,DEL,0,,9,3,1709.71,120,6860
Vistara,DEL,COK,0,,15,4,2048.6,180,6216
Air Asia,CCU,BLR,1,,24,5,3022.67,660,5192
IndiGo,BLR,DEL,0,,9,4,1709.71,120,4823
SpiceJet,BLR,DEL,0,2.0,3,4,1709.71,120,3919
IndiGo,BOM,HYD,0,,3,6,623.54,60,2754
Multiple carriers,DEL,COK,1,,9,5,2201.6,660,9315
Multiple carriers,DEL,COK,1,,27,3,2201.6,480,11667
Jet Airways,CCU,BLR,1,1.0,12,6,2500.36,1200,6224
Air India,CCU,BLR,2,,24,3,2573.87,1200,13349
Jet Airways,BLR,DEL,1,1.0,18,3,1971.87,960,11087
Multiple carriers,DEL,COK,1,,6,3,2201.6,720,15603
Jet Airways,DEL,COK,2,,9,5,2206.24,1020,15129
IndiGo,BLR,DEL,0,,9,4,1709.71,180,4823
Vistara,CCU,BLR,1,,1,5,3022.67,900,8452
Multiple carriers,DEL,COK,1,,6,6,2201.6,660,12524
SpiceJet,MAA,CCU,0,,27,3,1387.26,120,3384
Jet Airways,DEL,COK,1,1.0,1,6,2201.6,1380,10262
SpiceJet,BOM,HYD,0,2.0,18,6,623.54,60,1965
IndiGo,CCU,BLR,0,,18,5,1547.27,120,4804
Jet Airways,DEL,COK,1,,27,5,2201.6,1440,16079
Jet Airways,DEL,COK,2,,1,6,2232.34,1260,13292
Air Asia,DEL,COK,1,,9,5,2077.09,300,6751
Air India,DEL,COK,1,,15,5,2201.6,720,8669
IndiGo,DEL,COK,1,,3,3,2201.6,480,14871
Jet Airways,DEL,COK,1,1.0,21,5,2201.6,300,12898
SpiceJet,BLR,DEL,0,2.0,6,6,1709.71,120,3919
Multiple carriers,DEL,COK,1,,1,3,2201.6,360,36983
IndiGo,MAA,CCU,0,,3,6,1387.26,120,3597
Air India,BLR,DEL,0,,9,3,1709.71,120,10741
Air India,CCU,BLR,2,,6,6,2573.87,720,11432
Jet Airways,BLR,DEL,1,1.0,12,3,1971.87,900,11087
Jet Airways,DEL,COK,2,,3,6,2232.34,1620,13292
Air India,DEL,COK,3,,15,6,2971.24,1560,10493
GoAir,BLR,DEL,0,,9,3,1709.71,120,7631
Air India,DEL,COK,2,,6,6,4043.05,1440,13381
Jet Airways,CCU,BLR,1,,6,6,2500.36,480,13731
Air India,DEL,COK,2,,21,5,2308.95,1500,11911
IndiGo,BLR,DEL,0,,18,4,1709.71,120,4591
Multiple carriers,DEL,COK,1,,3,6,2201.6,360,14848
Multiple carriers,DEL,COK,1,,12,6,2201.6,600,8266
Air India,DEL,COK,2,,18,5,2955.43,1560,12392
Jet Airways,CCU,BLR,1,,12,6,2500.36,1020,13044
Jet Airways,DEL,COK,1,1.0,21,5,2201.6,1260,12898
Jet Airways,DEL,COK,1,,21,3,2201.6,300,12242
IndiGo,BLR,DEL,0,,18,5,1709.71,120,3943
Vistara,CCU,BLR,1,,24,3,3022.67,1500,11105
Jet Airways,CCU,BLR,1,,12,5,2500.36,720,14388
Jet Airways,DEL,COK,2,,18,5,2206.24,1020,13014
Multiple carriers,DEL,COK,1,,6,3,2201.6,480,15411
Jet Airways,DEL,COK,1,,9,3,2201.6,1380,16289
IndiGo,DEL,COK,1,,15,5,2084.71,540,6442
Jet Airways,CCU,BLR,1,1.0,18,5,2500.36,420,10844
Jet Airways,BOM,HYD,0,,18,5,623.54,60,5678
IndiGo,BLR,DEL,0,,12,4,1709.71,120,6906
SpiceJet,MAA,CCU,0,2.0,21,5,1387.26,120,3543
Jet Airways,DEL,COK,1,,6,6,2201.6,600,14714
Vistara Premium economy,BLR,DEL,0,,3,3,1709.71,120,11793
Multiple carriers,DEL,COK,1,,15,5,2201.6,420,14323
SpiceJet,BLR,DEL,0,,9,4,1709.71,120,3971
Vistara,CCU,BLR,1,,6,5,3022.67,1560,8452
Vistara,BLR,DEL,0,,12,4,1709.71,120,5403
Multiple carriers,DEL,COK,1,,9,5,2201.6,660,13727
Air India,CCU,BLR,2,,1,4,3290.72,1140,12639
Jet Airways,BLR,DEL,0,1.0,18,4,1709.71,120,5198
Vistara,BLR,DEL,0,,1,6,1709.71,120,4878
Jet Airways,DEL,COK,1,1.0,18,5,2201.6,1380,12373
Multiple carriers,DEL,COK,1,1.0,3,3,2084.71,540,8552
Vistara,DEL,COK,0,,21,4,2048.6,180,6741
